director,name
罗伯托·贝尼尼,美丽人生 La vita è bella
宫崎骏,千与千寻 千と千尋の神隠し
陈凯歌,霸王别姬
克里斯托弗·诺兰,盗梦空间 Inception
史蒂文·斯皮尔伯格,辛德勒的名单 Schindler's List
詹姆斯·卡梅隆,泰坦尼克号 Titanic
罗伯特·泽米吉斯,阿甘正传 Forrest Gump
吕克·贝松,这个杀手不太冷 Léon
"奥利维埃·纳卡什, / ,埃里克·托莱达诺",触不可及 Intouchables
弗兰克·德拉邦特,肖申克的救赎 The Shawshank Redemption
"拜伦·霍华德, / ,瑞奇·摩尔, / ,杰拉德·布什",疯狂动物城 Zootopia
加布里埃莱·穆奇诺,当幸福来敲门 The Pursuit of Happyness
"刘伟强, / ,麦兆辉",无间道 無間道
弗朗西斯·福特·科波拉,教父 The Godfather
罗伯·莱纳,怦然心动 Flipped
黄东赫,熔炉 도가니
刘镇伟,大话西游之大圣娶亲 西遊記大結局之仙履奇緣
克里斯托弗·诺兰,星际穿越 Interstellar
朱塞佩·托纳多雷,海上钢琴师 La leggenda del pianista sull'oceano
拉吉库马尔·希拉尼,三傻大闹宝莱坞 3 Idiots
宫崎骏,龙猫 となりのトトロ
克里斯托夫·巴拉蒂,放牛班的春天 Les choristes
彼得·威尔,楚门的世界 The Truman Show
盖·里奇,"两杆大烟枪 Lock, Stock and Two Smoking Barrels"
彼得·威尔,死亡诗社 Dead Poets Society
弗洛里安·亨克尔·冯·多纳斯马尔克,窃听风暴 Das Leben der Anderen
李濬益,素媛 소원
马丁·布莱斯特,闻香识女人 Scent of a Woman
大卫·芬奇,搏击俱乐部 Fight Club
杨宇硕,辩护人 변호인
贝纳尔多·贝托鲁奇,末代皇帝 The Last Emperor
威廉·惠勒,罗马假日 Roman Holiday
大卫·芬奇,七宗罪 Se7en
罗伯特·怀斯,音乐之声 The Sound of Music
克里斯托弗·诺兰,致命魔术 The Prestige
"赛尔乔·莱昂内,又名:",美国往事 Once Upon a Time in America
史蒂文·斯皮尔伯格,猫鼠游戏 Catch Me If You Can
马基德·马基迪,小鞋子 بچههای آسمان
"朱塞佩·托纳多雷,(,展开,)",西西里的美丽传说 Malèna
史蒂文·斯皮尔伯格,拯救大兵瑞恩 Saving Private Ryan
"莉莉·沃卓斯基, / ,拉娜·沃卓斯基",黑客帝国 The Matrix
姜文,让子弹飞
"周星驰, / ,李力持",喜剧之王 喜劇之王
M·奈特·沙马兰,第六感 The Sixth Sense
"托马斯·温特伯格,看过",狩猎 Jagten
王家卫,重庆森林 重慶森林
奥里奥尔·保罗,看不见的客人 Contratiempo
姜文,阳光灿烂的日子
詹姆斯·曼高德,致命ID Identity
大卫·芬奇,本杰明·巴顿奇事 The Curious Case of Benjamin Button
李安,断背山 Brokeback Mountain
戈尔·维宾斯基,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl
宫崎骏,风之谷 風の谷のナウシカ
北野武,菊次郎的夏天 菊次郎の夏
理查德·林克莱特,爱在日落黄昏时 Before Sunset
查理·卓别林,摩登时代 Modern Times
大卫·叶茨,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2
森淳一,小森林 冬春篇 リトル・フォレスト 冬・春
托尼·凯耶,超脱 Detachment
金秉祐,恐怖直播 더 테러 라이브
李焕庆,7号房的礼物 7번방의 선물
"迪恩·德布洛斯, / ,克里斯·桑德斯",驯龙高手 How to Train Your Dragon
奉俊昊,杀人回忆 살인의 추억
近藤喜文,侧耳倾听 耳をすませば
今敏,红辣椒 パプリカ
陈可辛,甜蜜蜜
理查德·柯蒂斯,真爱至上 Love Actually
理查德·柯蒂斯,时空恋旅人 About Time
王家卫,东邪西毒 東邪西毒
米洛斯·福尔曼,飞越疯人院 One Flew Over the Cuckoo's Nest
程小东,倩女幽魂
"丹尼·博伊尔, / ,洛芙琳·坦丹",贫民窟的百万富翁 Slumdog Millionaire
高畑勋,萤火虫之墓 火垂るの墓
乔·赖特,傲慢与偏见 Pride & Prejudice
黑泽明,七武士 七人の侍
保罗·格林格拉斯,谍影重重3 The Bourne Ultimatum
罗启锐,岁月神偷 歲月神偷
"柯克·德·米科, / ,克里斯·桑德斯",疯狂原始人 The Croods
今敏,未麻的部屋 Perfect Blue
热拉尔·乌里,虎口脱险 La grande vadrouille
郭柯,二十二
尼克·卡萨维蒂,恋恋笔记本 The Notebook
藤森雅也,你看起来好像很好吃 おまえうまそうだな
"卡洛斯·沙尔丹哈, / ,克里斯·韦奇",冰川时代 Ice Age
李安,喜宴 囍宴
"彼特·道格特, / ,罗纳尔多·德尔·卡门",头脑特工队 Inside Out
"严定宪, / ,王树忱, / ,徐景达",哪吒闹海
特瑞·乔治,卢旺达饭店 Hotel Rwanda
新海诚,你的名字。 君の名は。
杰茜·尼尔森,我是山姆 I Am Sam
吴宇森,英雄本色
瑞奇·摩尔,无敌破坏王 Wreck-It Ralph
肯尼思·洛纳根,海边的曼彻斯特 Manchester by the Sea
王家卫,阿飞正传 阿飛正傳
陆川,可可西里
汤姆·提克威,香水 Perfume: The Story of a Murderer
保罗·杰诺维塞,完美陌生人 Perfetti sconosciuti
黑泽明,罗生门 羅生門
阿尔弗雷德·希区柯克,惊魂记 Psycho
丹尼·博伊尔,猜火车 Trainspotting
克里斯托弗·史密斯,恐怖游轮 Triangle
是枝裕和,海街日记 海街diary
史蒂芬·戴德利,朗读者 The Reader
茂文·勒鲁瓦,魂断蓝桥 Waterloo Bridge
爱德华·兹威克,血钻 Blood Diamond
周星驰,功夫
弗兰克·德拉邦特,绿里奇迹 The Green Mile
朴勋政,新世界 신세계
克里斯托弗·诺兰,追随 Following
约翰·卡尼,再次出发之纽约遇见你 Begin Again
卡比尔·汗,小萝莉的猴神大叔 Bajrangi Bhaijaan
昆汀·塔伦蒂诺,无耻混蛋 Inglourious Basterds
邓肯·琼斯,源代码 Source Code
阿斯哈·法哈蒂,一次别离 جدایی نادر از سیمین
延尚昊,釜山行 부산행
是枝裕和,步履不停 歩いても 歩いても
新海诚,秒速5厘米 秒速5センチメートル
赛尔乔·莱昂内,"黄金三镖客 Il buono, il brutto, il cattivo."
布莱恩·辛格,非常嫌疑犯 The Usual Suspects
安德鲁·尼科尔,千钧一发 Gattaca
"周申, / ,刘露",驴得水
秋昌旼,我爱你 그대를 사랑합니다
迈克尔·贝,勇闯夺命岛 The Rock
吴宇森,变脸 Face/Off
汤姆·霍珀,国王的演讲 The King's Speech
克里斯·哥伦布,哈利·波特与密室 Harry Potter and the Chamber of Secrets
斯坦利·库布里克,发条橙 A Clockwork Orange
理查德·沙因克曼,这个男人来自地球 The Man from Earth
雷德利·斯科特,末路狂花 Thelma & Louise
罗伯·莱纳,遗愿清单 The Bucket List
阿方索·卡隆,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban
雷德利·斯科特,黑鹰坠落 Black Hawk Down
史蒂文·斯皮尔伯格,E.T. 外星人 E.T.: The Extra-Terrestrial
达伦·阿伦诺夫斯基,梦之安魂曲 Requiem for a Dream
"保罗·哈吉斯,©豆瓣",撞车 Crash
小津安二郎,东京物语 東京物語
查理·卓别林,城市之光 City Lights
乔治·米勒,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road
汤姆·麦卡锡,聚焦 Spotlight
詹姆斯·沃德·布柯特,彗星来的那一夜 Coherence
斯坦利·库布里克,2001太空漫游 2001: A Space Odyssey
阿米尔·汗,地球上的星星 Taare Zameen Par
詹姆斯·卡梅隆,终结者2：审判日 Terminator 2: Judgment Day
李惠民,新龙门客栈 新龍門客棧
徐克,青蛇
理查德·林克莱特,爱在午夜降临前 Before Midnight
"普特鹏·普罗萨卡·那·萨克那卡林, / ,华森·波克彭",初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก
安德鲁·尼科尔,战争之王 Lord of War
斯蒂芬·卓博斯基,奇迹男孩 Wonder
丹尼斯·甘塞尔,浪潮 Die Welle
"杨德昌,又名:",牯岭街少年杀人事件 牯嶺街少年殺人事件
宁浩,疯狂的石头
道格·里曼,谍影重重 The Bourne Identity
保罗·格林格拉斯,谍影重重2 The Bourne Supremacy
"莉莉·沃卓斯基, / ,拉娜·沃卓斯基",黑客帝国3：矩阵革命 The Matrix Revolutions
宫崎骏,魔女宅急便 魔女の宅急便
伦尼·阿伯拉罕森,房间 Room
史蒂文·斯皮尔伯格,人工智能 Artificial Intelligence: AI
爱德华·兹威克,燃情岁月 Legends of the Fall
"王树忱, / ,钱运达",天书奇谭
细田守,穿越时空的少女 時をかける少女
汉内斯·赫尔姆,一个叫欧维的男人决定去死 En man som heter Ove
神山征二郎,忠犬八公物语 ハチ公物語
